timeOpen,timeClose,timeHigh,timeLow,name,open,high,low,close,volume,marketCap,circulatingSupply,timestamp
2022-01-01 00:00:00+00:00,2022-01-01 23:59:59.999000+00:00,2022-01-01 17:49:00+00:00,2022-01-01 00:01:00+00:00,2781,46311.744663041,47827.3109946009,46288.4860950468,47686.8115091782,24582667004.25,902104193384.61,18917268.0,2022-01-01 23:59:59.999000+00:00
2022-01-02 00:00:00+00:00,2022-01-02 23:59:59.999000+00:00,2022-01-02 17:08:00+00:00,2022-01-02 18:35:00+00:00,2781,47680.9266248301,47881.4062331606,46856.9363097429,47345.220564253,27951569547.04,895688387523.14,18918243.0,2022-01-02 23:59:59.999000+00:00
2022-01-03 00:00:00+00:00,2022-01-03 23:59:59.999000+00:00,2022-01-03 12:19:00+00:00,2022-01-03 20:45:00+00:00,2781,47343.543765149,47510.7261749285,45835.9630254063,46458.1169588914,33071628361.52,878946596803.07,18919118.0,2022-01-03 23:59:59.999000+00:00
2022-01-04 00:00:00+00:00,2022-01-04 23:59:59.999000+00:00,2022-01-04 15:17:00+00:00,2022-01-04 19:03:00+00:00,2781,46458.8514444139,47406.5483021772,45752.4635620531,45897.5758267783,42494677904.76,868383282082.05,18920025.0,2022-01-04 23:59:59.999000+00:00
2022-01-05 00:00:00+00:00,2022-01-05 23:59:59.999000+00:00,2022-01-05 10:11:00+00:00,2022-01-05 22:35:00+00:00,2781,45899.3587395826,46929.0457944863,42798.2242591564,43569.0033476498,36851084858.53,824368284529.82,18920981.0,2022-01-05 23:59:59.999000+00:00
2022-01-06 00:00:00+00:00,2022-01-06 23:59:59.999000+00:00,2022-01-06 01:20:00+00:00,2022-01-06 09:59:00+00:00,2781,43565.5117270679,43748.7203109931,42645.5409516768,43160.9284196054,30208048288.93,816685390313.23,18921868.0,2022-01-06 23:59:59.999000+00:00
2022-01-07 00:00:00+00:00,2022-01-07 23:59:59.999000+00:00,2022-01-07 00:00:00+00:00,2022-01-07 16:22:00+00:00,2781,43153.5708757533,43153.5708757533,41077.4462015482,41557.9011609709,84196607519.83,786389774193.77,18922750.0,2022-01-07 23:59:59.999000+00:00
2022-01-08 00:00:00+00:00,2022-01-08 23:59:59.999000+00:00,2022-01-08 22:31:00+00:00,2022-01-08 18:13:00+00:00,2781,41561.4658676891,42228.9420354353,40672.2754483568,41733.9430988926,28066355845.13,789758782727.02,18923656.0,2022-01-08 23:59:59.999000+00:00
2022-01-09 00:00:00+00:00,2022-01-09 23:59:59.999000+00:00,2022-01-09 20:02:00+00:00,2022-01-09 15:19:00+00:00,2781,41734.727562932,42663.9504824008,41338.1597064035,41911.6015363357,21294384372.18,793156354744.0,18924506.0,2022-01-09 23:59:59.999000+00:00
2022-01-10 00:00:00+00:00,2022-01-10 23:59:59.999000+00:00,2022-01-10 05:01:00+00:00,2022-01-10 14:37:00+00:00,2781,41910.2308272178,42199.4850422173,39796.571708349,41821.2631390031,32104232330.73,791484886193.63,18925418.0,2022-01-10 23:59:59.999000+00:00
2022-01-11 00:00:00+00:00,2022-01-11 23:59:59.999000+00:00,2022-01-11 20:08:00+00:00,2022-01-11 14:37:00+00:00,2781,41819.5069706213,43001.1571213205,41407.7538730793,42735.8541195077,26327648900.42,808834801011.1,18926375.0,2022-01-11 23:59:59.999000+00:00
2022-01-12 00:00:00+00:00,2022-01-12 23:59:59.999000+00:00,2022-01-12 21:28:00+00:00,2022-01-12 02:50:00+00:00,2781,42742.1784059514,44135.3685087135,42528.9864452659,43949.1006867819,33499938688.54,831836978396.02,18927281.0,2022-01-12 23:59:59.999000+00:00
2022-01-13 00:00:00+00:00,2022-01-13 23:59:59.999000+00:00,2022-01-13 14:41:00+00:00,2022-01-13 20:13:00+00:00,2781,43946.7417177351,44278.4232566127,42447.0441520643,42591.5722580306,47691135081.85,806189762638.47,18928387.0,2022-01-13 23:59:59.999000+00:00
2022-01-14 00:00:00+00:00,2022-01-14 23:59:59.999000+00:00,2022-01-14 21:58:00+00:00,2022-01-14 12:15:00+00:00,2781,42598.872888975,43346.6885657206,41982.6166524365,43099.6998283297,23577403398.89,815850639036.09,18929381.0,2022-01-14 23:59:59.999000+00:00
